linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
2,148856214,CGH SÃO PEDRO DO IGUAÇU,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
2,148856214,CGH SÃO PEDRO DO IGUAÇU,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
2,148856214,CGH SÃO PEDRO DO IGUAÇU,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
3,25.271.974-1,CACHOEIRA BRAVA,latitude/longitude,Registro sem coordenada geográfica válida,CRITICO,Verificar e preencher latitude/longitude no Paraná (WGS84)
4,53306160,CGH NOVA JAGUARIAÍVA,data_validade,Licença vencida em 2008-08-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
5,118188934,CGH NOVA JAGUARIAÍVA,data_validade,Licença vencida em 2019-07-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
7,182359564,CGH ACARAÍ,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
9,157971590,CGH AÇUNGUI 2H,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
10,189208812,CGH ADAMI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
11,151171400,CGH AFIRMAC,data_validade,Licença vencida em 2023-07-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
13,79110981,CGH ÁGUA BENTA,data_validade,Licença vencida em 2024-03-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
15,185248852,CGH ÁGUA DO BRAZ,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
16,141138120,CGH ÁGUA DO BRAZ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
18,189962487,CGH ÁGUA PARADA,data_validade,Licença vencida em 2025-06-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
20,79116220,CGH ÁGUA SANTA,data_validade,Licença vencida em 2024-02-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
22,141139320,CGH ÁGUA SANTA (CONSTRUNÍVEL),tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
24,188687040,CGH AGUAS PERDIDAS,data_validade,Licença vencida em 2023-07-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
25,163752360,CGH ALBERTI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
25,163752360,CGH ALBERTI,tipologia/potencia,Potência 0.2 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
26,136727885,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2020-02-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
26,136727885,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
27,153596581,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2021-05-27,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
27,153596581,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
28,168806914,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
29,172881467,CGH ALCEU VIGANÓ I,data_validade,Licença vencida em 2024-06-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
29,172881467,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
30,184862956,CGH ALCEU VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
31,136728245,CGH ALCEU VIGANÓ II,data_validade,Licença vencida em 2020-02-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
32,180972560,CGH ALGACIR,data_validade,Licença vencida em 2023-10-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
36,149448454,CGH ALIANÇA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
37,79227897,CGH ALTO ALEGRE,data_validade,Licença vencida em 2016-06-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
39,185298000,CGH ALTO TRICOLOR,data_validade,Licença vencida em 2025-09-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
41,187476011,CGH ALVORADA,data_validade,Licença vencida em 2025-03-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
43,150826314,CGH AMANAYTU,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
44,161833924,CGH AMANAYTU,tipologia/potencia,Potência 0.3 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
46,187077311,CGH ARARAS,data_validade,Licença vencida em 2023-07-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
47,154991204,CGH ARARAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
49,189955995,CGH ARIRANHA,data_validade,Licença vencida em 2023-06-22,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
51,151137610,CGH ARROIO DA COTIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
52,185277852,CGH ARVOREDO,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
54,77036806,CGH ASSIS CHATEAUBRIAND,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
55,135939544,CGH AVECON,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
56,228953849,CGH AZUL,tipologia/potencia,Potência 0.5 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
58,157709682,CGH AZUL I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
61,181331518,CGH AZUL II,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
62,162807331,CGH AZUL II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
63,139609484,CGH BAIXO ANDRADA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
63,139609484,CGH BAIXO ANDRADA,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
64,140228788,CGH BAIXO ANDRADA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
65,146181147,CGH BAIXO ANDRADA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
66,257675335,CGH BANDEIRA,data_protocolo,Data de protocolo ausente,MEDIO,Preencher a data de protocolo do processo
66,257675335,CGH BANDEIRA,tipologia/potencia,Potência 0.55 MW incompatível com a tipologia MGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
70,147291027,CGH BANDIERA RONFIM,data_validade,Licença vencida em 2020-09-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
72,166967708,CGH BANDIERA RONFIM,data_validade,Licença vencida em 2023-05-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
73,184622823,CGH BARRA DO AMPERE,data_validade,Licença vencida em 2023-03-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
75,185231259,CGH BARRA DO BUGRE,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
77,142117037,CGH BARRA DO LEÃO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
79,185812774,CGH BARRA MANSA,data_validade,Licença vencida em 2024-10-05,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
81,173139802,CGH BARRA MANSA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
84,144880331,CGH BELA VISTA,data_validade,Licença vencida em 2023-02-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
86,147391790,CGH BELTRAME,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
87,162265644,CGH BELTRAME,data_validade,Licença vencida em 2024-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
88,25.863.362-8,CGH BELTRAME,data_validade,Licença vencida em 2026-06-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
91,79566128,CGH BENEDITO,data_validade,Licença vencida em 2016-06-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
92,140971120,CGH BENEDITO,data_validade,Licença vencida em 2019-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
93,159539210,CGH BENEDITO,data_validade,Licença vencida em 2024-06-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
94,199866184,CGH BENEDITO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
97,215112357,CGH BITUR,data_validade,Licença vencida em 2026-04-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
99,139744411,CGH BITUR,data_validade,Licença vencida em 2021-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
101,226854193,CGH BOA ESPERANÇA,latitude/longitude,Coordenada informada está fora dos limites do Paraná,CRITICO,"Conferir sinal/ordem de latitude e longitude (WGS84, graus decimais)"
102,46291158,CGH BOA VISTA I,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
103,78431334,CGH BOA VISTA I,data_validade,Licença vencida em 2017-09-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
104,145283876,CGH BOA VISTA I,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
106,166315611,CGH BOM JESUS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
106,166315611,CGH BOM JESUS,tipologia/potencia,Potência 0.5 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
108,166688329,CGH BOM RETIRO,data_validade,Licença vencida em 2026-06-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
110,180824863,CGH BOM SUCESSO,data_validade,Licença vencida em 2023-09-28,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
111,173076371,CGH BOM SUCESSO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
113,165061403,CGH BONETI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
113,165061403,CGH BONETI,tipologia/potencia,Potência 0.3 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
114,185809749,CGH BORBOLETA,data_validade,Licença vencida em 2023-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
116,96391617,CGH BRAÇO DO POTINGA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
117,117851982,CGH BRAÇO DO POTINGA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
118,118016688,CGH BRAMESCA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
119,139348486,CGH BRITAFOZ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
120,187236649,CGH BROMELIA,data_validade,Licença vencida em 2023-07-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
122,138227871,CGH BRUGIM,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
124,153976619,CGH BULHA I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
125,143984982,CGH BUTIAZINHO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
126,136856294,CGH CABEÇA DE PATO,data_validade,Licença vencida em 2019-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
127,159612171,CGH CABEÇA DE PATO,data_validade,Licença vencida em 2025-07-16,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
128,187919568,CGH CABIUNA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
129,117851990,CGH CACATU,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
131,46291140,CGH CACHOEIRA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
132,78431326,CGH CACHOEIRA,data_validade,Licença vencida em 2024-11-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
133,79229962,CGH CACHOEIRA,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
134,146071457,CGH CACHOEIRA,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
135,175546960,CGH CACHOEIRA,data_validade,Licença vencida em 2025-06-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
136,219571674,CGH CACHOEIRA,data_validade,Licença vencida em 2025-06-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
138,154949518,CGH CACHOEIRA BAIXA,data_validade,Licença vencida em 2022-08-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
140,52304440,CGH CACHOEIRA BRAVA,data_validade,Licença vencida em 2013-12-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
140,52304440,CGH CACHOEIRA BRAVA,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
141,122228851,CGH CACHOEIRA BRAVA,data_validade,Licença vencida em 2020-02-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
141,122228851,CGH CACHOEIRA BRAVA,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
142,163842262,CGH CACHOEIRA BRAVA,data_validade,Licença vencida em 2025-10-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
142,163842262,CGH CACHOEIRA BRAVA,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
143,220998967,CGH CACHOEIRA BRAVA,data_validade,Licença vencida em 2025-10-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
143,220998967,CGH CACHOEIRA BRAVA,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
144,238639727,CGH CACHOEIRA BRAVA,latitude/longitude,"Coordenada de baixa precisão (2.0 casas decimais, ~1 km ou pior)",BAIXO,Refinar a coordenada com mais casas decimais (≥5 ≈ metros)
145,163426625,CGH CACHOEIRINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
146,184559706,CGH CACHOEIRINHA,data_validade,Licença vencida em 2023-02-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
147,182359572,CGH CACUMBANGUE,data_validade,Licença vencida em 2023-06-10,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
149,138227618,CGH CAMILO KLEIN,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
150,136245775,CGH CAMPING,data_validade,Licença vencida em 2024-09-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
153,160049529,CGH CAMPO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
154,158858851,CGH CAMPO BONITO,data_validade,Licença vencida em 2024-11-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
156,79486450,CGH CAMPO REAL,data_validade,Licença vencida em 2020-02-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
157,152515480,CGH CAMPO REAL,data_validade,Licença vencida em 2020-10-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
158,166602840,CGH CAMPO REAL,data_validade,Licença vencida em 2024-02-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
159,201435374,CGH CAMPO REAL,data_validade,Licença vencida em 2024-04-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
161,119967252,CGH CANANÉIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
163,185231399,CGH CANAVIAL,data_validade,Licença vencida em 2023-06-06,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
166,186468376,CGH CANTINHO DO CÉU,data_validade,Licença vencida em 2023-08-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
167,165775309,CGH CANTINHO DO CÉU,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
168,121990520,CGH CÃO MENOR,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
169,164507149,CGH CAPELETE,data_validade,Licença vencida em 2026-06-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
169,164507149,CGH CAPELETE,tipologia/potencia,Potência 0.258 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
170,78429690,CGH CAPIVARA,data_validade,Licença vencida em 2015-10-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
171,130838570,CGH CAPIVARA,data_validade,Licença vencida em 2017-09-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
172,146502512,CGH CAPIVARA,data_validade,Licença vencida em 2019-11-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
173,160175346,CGH CAPIVARA,data_validade,Licença vencida em 2021-10-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
174,162208519,CGH CAPIVARA,data_validade,Licença vencida em 2025-01-14,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
176,166725178,CGH CAPIVARI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
176,166725178,CGH CAPIVARI,potencia,Potência (MW) ausente,BAIXO,Preencher a potência solicitada em MW
177,225520763,CGH CARATUVA,tipologia/potencia,Potência 0.35 MW incompatível com a tipologia CGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
178,72679504,CGH CARAZINHO,data_validade,Licença vencida em 2012-04-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
180,133216502,CGH CARMINATTI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
181,140284610,CGH CASALI,data_validade,Licença vencida em 2020-10-13,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
182,78562080,CGH CASALI,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
183,171686687,CGH CASALI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
184,181243945,CGH CASCATA I,data_validade,Licença vencida em 2023-09-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
185,144483570,CGH CASCATA I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
187,77471162,CGH CASCAVELZINHO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
188,78393688,CGH CASTRO,data_validade,Licença vencida em 2016-11-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
189,139632338,CGH CASTRO,data_validade,Licença vencida em 2018-06-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
190,148510385,CGH CASTRO,data_validade,Licença vencida em 2021-10-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
191,178686666,CGH CASTRO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
193,149044876,CGH CATUPORANGA,data_validade,Licença vencida em 2021-08-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
194,156127485,CGH CATUPORANGA,data_validade,Licença vencida em 2025-08-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
198,49471459,CGH CAVERNOSO,data_validade,Licença vencida em 2006-04-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
199,88346874,CGH CAVERNOSO,data_validade,Licença vencida em 2010-04-20,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
200,77484990,CGH CAVERNOSO,data_validade,Licença vencida em 2014-03-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
201,122182452,CGH CAVERNOSO,data_validade,Licença vencida em 2018-02-25,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
202,149035885,CGH CAVERNOSO,data_validade,Licença vencida em 2022-12-11,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
204,147113471,CGH CAVERNOSO V,data_validade,Licença vencida em 2025-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
206,228248576,CGH CAVERNOSO V,data_validade,Licença vencida em 2025-11-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
209,147314671,CGH CAVERNOSO VI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
210,183176803,CGH CAVERNOSO VII,data_validade,Licença vencida em 2022-11-19,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
211,169730237,CGH CAVERNOSO VII,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
213,183758268,CGH CECILIA,data_validade,Licença vencida em 2023-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
216,56715177,CGH CERME,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
218,169347573,CGH CERRO AZUL,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
220,49470860,CGH CHOPIM I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
221,56580565,CGH CHOPIM I,data_validade,Licença vencida em 2007-09-29,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
222,78680687,CGH CHOPIM I,data_validade,Licença vencida em 2016-01-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
226,183872745,CGH CINZAS I,data_validade,Licença vencida em 2023-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
228,136727095,CGH CLÓVIS VIGANÓ I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
228,136727095,CGH CLÓVIS VIGANÓ I,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
229,136727567,CGH CLÓVIS VIGANÓ II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
230,81040125,CGH COAMO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
231,121990540,CGH COLUMBA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
232,220159370,CGH COLUSSI,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
236,140890197,CGH CONDOMÍNIO SÃO LUIZ,data_validade,Licença vencida em 2020-11-21,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
237,168262914,CGH CONDOMÍNIO SÃO LUIZ,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
238,185732630,CGH CONGOINHAS,data_validade,Licença vencida em 2023-02-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
239,117033600,CGH CONGOINHAS,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
241,144880544,CGH CONRADO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
242,140826332,CGH CORRENTE DE OURO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
243,206850167,CGH CORUMBATAÍ,data_protocolo,Data de protocolo ausente,MEDIO,Preencher a data de protocolo do processo
244,181219181,CGH CORVO I,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
245,149703209,CGH CORVO I,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
248,181312386,CGH CORVO II,data_validade,Licença vencida em 2023-10-04,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
249,144483278,CGH CORVO II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
251,150933684,CGH COTEGIPE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
252,181209410,CGH COTEGIPE II,data_validade,Licença vencida em 2023-09-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
253,153919712,CGH COTEGIPE II,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
255,212629383,CGH COTEGIPE III,data_validade,Licença vencida em 2026-04-24,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
256,59687131,CGH COTIA,data_validade,Licença vencida em 2010-09-03,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
257,78275057,CGH COTIA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
258,79409235,CGH COVÓ,data_validade,Licença vencida em 2015-10-31,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
259,137431807,CGH COVÓ,data_validade,Licença vencida em 2023-04-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
261,152726597,CGH COVÓ,data_validade,Licença vencida em 2019-07-30,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
262,155090600,CGH COVÓ,data_validade,Licença vencida em 2023-03-08,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
264,51430832,CGH CRISTALINO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
265,54988850,CGH CRISTALINO,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
266,58748790,CGH CRISTALINO,data_validade,Licença vencida em 2005-02-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
267,58750670,CGH CRISTALINO,data_validade,Licença vencida em 2004-09-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
