linha_original,protocolo,empreendimento,campo,problema,gravidade,recomendacao
958,144634675,CGH ZATTAR,data_validade,Licença vencida em 2021-08-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
961,257674061,CGH ZÉ RENATO,data_protocolo,Data de protocolo ausente,MEDIO,Preencher a data de protocolo do processo
964,213285505,MCH CAMIFRA,tipologia/potencia,Potência 0.75 MW incompatível com a tipologia MCH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
965,207681016,MCH CAMPINA DO SIMÃO,tipologia/potencia,Potência 0.75 MW incompatível com a tipologia MCH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
970,195196400,MCH VAZÃO SANITARIA SÃO FRANCISCO,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
973,149903577,MGH 111,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
981,235016710,MGH MOINHO NOVA AURORA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
984,235012910,MGH RP ENERGIA CAFELÂNDIA,latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
990,143905047,MGH SÃO JOÃO (Carambeí),tipologia/potencia,Potência 0.8 MW incompatível com a tipologia MGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
990,143905047,MGH SÃO JOÃO (Carambeí),latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
991,25.338.437-9,MGH SÃO JOÃO (Carambeí),tipologia/potencia,Potência 0.8 MW incompatível com a tipologia MGH,MEDIO,"Conferir tipologia × potência (MCH ≤0,075; MGH ≤0,5; CGH ≤5; PCH ≤30; UHE >30 MW)"
991,25.338.437-9,MGH SÃO JOÃO (Carambeí),latitude/longitude,Mesma coordenada usada por 2 empreendimentos distintos,MEDIO,Conferir se a coordenada é genérica/placeholder e individualizar cada ponto
995,136247980,PCH AÇUNGUI 2C,numero_licenca,Processo deferido sem número de licença,MEDIO,Preencher o número do documento de licença emitido
1000,141339869,PCH AÇUNGUI 2F,data_validade,Licença vencida em 2019-11-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1004,132663513,PCH ÁGUA BONITA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1005,185518388,PCH ÁGUA BRANCA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1007,54988001,PCH ÁGUA BRANCA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1009,51291719,PCH ÁGUA LIMPA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1011,182359637,PCH ÁGUA TREMIDA,data_validade,Licença vencida em 2022-12-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1013,205155074,PCH ALIANÇA,data_validade,Licença vencida em 2025-09-12,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1014,168980850,PCH ALIANÇA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1017,48253202,PCH ALTO CHOPIM,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1018,49493827,PCH ALTO CHOPIM,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1019,162833057,PCH ALTO CHOPIM,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1020,197843241,PCH AMPÉRE,data_validade,Licença vencida em 2026-03-01,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1021,160007095,PCH AMPÉRE,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1023,181500549,PCH APUCARANA,data_validade,Licença vencida em 2022-11-18,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1024,158099667,PCH APUCARANA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1026,49470908,PCH APUCARANINHA,data_validade,Licença vencida em 2007-09-26,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1026,49470908,PCH APUCARANINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1027,93839943,PCH APUCARANINHA,data_validade,Licença vencida em 2010-01-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1027,93839943,PCH APUCARANINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1028,77474277,PCH APUCARANINHA,data_validade,Licença vencida em 2016-03-02,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1028,77474277,PCH APUCARANINHA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1030,42993271,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 1999-12-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1031,46309120,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2001-03-15,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1032,56228918,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2007-10-09,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1033,94975409,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2011-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1034,78920513,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2015-06-17,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1035,135075779,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2023-07-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1036,154676830,PCH ARTURO ANDREOLI (FOZ DO CHOPIM),data_validade,Licença vencida em 2023-07-23,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
1040,79487023,PCH BANDEIRA,tecnico_responsavel,Técnico responsável ausente,MEDIO,Atribuir técnico responsável pelo processo
1042,120857568,PCH BANDEIRANTES DO NORTE,data_validade,Licença vencida em 2016-08-07,CRITICO,Verificar se houve renovação não registrada ou se o processo está encerrado
